Vital House Number,Vital Street Name,Block,Lot,Condemnation Legislation,Most Recent Inspection,Latitude,Longitude
223-225, WEST END AVE.,4051,52,no,10-04-2013,40.7383905,-74.22711073
33, WEST END AVE.,4052,16,no,07-02-2013,40.74405037,-74.22258186
63, WEST END AVE.,4052,31,no,07-02-2013,40.74317177,-74.22328637
65-67, WEST END AVE.,4052,32,no,07-02-2013,40.74308381,-74.22335695
81-83, WEST END AVE.,4052,40,no,07-02-2013,40.74261097,-74.22373617
52-54, PINE GROVE TERR.,4052,124,no,07-03-2013,40.74340076,-74.22345278
51-53, WEST END AVE.,4052,25,no,10-04-2013,40.74352371,-74.22300438
89-91, WEST END AVE.,4052,45,no,10-04-2013,40.74235256,-74.22394297
11-13, WEST END AVE.,4052,5,no,10-04-2013,40.74466327,-74.22209127
105, WEST END AVE.,4052,52,no,10-04-2013,40.74193103,-74.22428251
59, PINE GROVE TERR.,4053,29,no,07-03-2013,40.74336531,-74.22397248
55-57, PINE GROVE TERR.,4053,28,no,07-03-2013,40.74345297,-74.22390246
47, PINE GROVE TERR.,4053,23,no,01-16-2014,40.74371713,-74.22369112
35-37, PINE GROVE TERR.,4053,18,no,07-03-2013,40.74406821,-74.22340868
103-105, PINE GROVE TER,4053,51,no,09-06-2013,40.74205045,-74.22502742
53, PINE GROVE TERR.,4053,26,no,,40.74354042,-74.22383208
86, ALEXANDER ST.,4057,46,no,07-02-2013,40.74264025,-74.22512412
30, ALEXANDER ST.,4057,19,no,03-20-2014,40.74425911,-74.22379002
26-28, ALEXANDER ST.,4057,17,no,03-20-2014,40.74434292,-74.22371604
144, ALEXANDER ST.,4058,27,no,03-20-2014,40.7409786,-74.22644533
94, ALEXANDER ST.,4058,3,no,09-05-2013,40.74241003,-74.22529542
139-141, ALEXANDER ST.,4059,26,no,03-20-2014,40.74130623,-74.2269799
132, SUNSET AVE.,4059,60,no,03-27-2014,40.74153899,-74.22721603
142-144, SUNSET AVE.,4059,55,no,03-28-2014,40.74123653,-74.22746353
12, SUNSET AVE.,4060,10,no,03-27-2014,40.7450431,-74.22439833
20, SUNSET AVE.,4060,14,no,03-27-2014,40.74480976,-74.22458609
13-15, ALEXANDER ST,4060,80,no,09-05-2013,40.74498821,-74.22401934
37, SUNSET AVE.,4061,127,no,03-27-2014,40.74456122,-74.22542374
51, SUNSET AVE.,4061,120,no,03-27-2014,40.74412523,-74.22577154
57, SUNSET AVE.,4061,117,no,03-27-2014,40.74395052,-74.22591156
93, SUNSET AVE.,4061,99,no,03-27-2014,40.74289032,-74.22676374
68-70, BOYLAN ST.,4061,38,no,05-20-2014,40.74367643,-74.22655413
69, SUNSET AVE.,4061,111,no,10-02-2013,40.74359618,-74.22620291
27-29, SUNSET AVE.,4061,131,no,10-02-2013,40.74477008,-74.22525421
23-25, SUNSET AVE.,4061,133,no,10-02-2013,40.74488687,-74.22516032
21, SUNSET AVE.,4061,135,no,10-02-2013,40.74500348,-74.2250665
127, SUNSET AVE.,4061.01,82,no,03-27-2014,40.7419192,-74.2275468
143, SUNSET AVE.,4061.01,74,no,10-02-2013,40.74143168,-74.22794179
107-109, SUNSET AVE.,4061.01,91,no,10-02-2013,40.74242681,-74.22713841
55-57, BOYLAN ST.,4063,105,no,05-20-2014,40.74417792,-74.22677026
73, BOYLAN ST.,4063,97,no,07-08-2013,40.74369888,-74.22717333
59, BOYLAN ST.,4063,102,no,05-20-2014,40.74408948,-74.22685538
110, BROOKDALE AVE.,4063.01,68,no,04-04-2014,40.74250976,-74.22803092
108, BROOKDALE AVE.,4063.01,67,no,04-04-2014,40.74258048,-74.22800487
109, BROOKDALE AVE.,4064,66,no,04-04-2014,40.74262336,-74.22854961
103, BROOKDALE AVE.,4064,69,no,04-04-2014,40.74281955,-74.22847575
96, NORWOOD ST.,4064,3,no,07-08-2013,40.74296201,-74.22879547
102, NORWOOD ST.,4064,6,no,07-08-2013,40.7427646,-74.22887135
110, NORWOOD ST.,4064,10,no,07-08-2013,40.74250155,-74.22897202
61-63, BROOKDALE AVE.,4065,63,no,04-04-2014,40.74413296,-74.22797224
41, BROOKDALE AVE.,4065,73,no,04-04-2014,40.74489004,-74.22768338
12, NORWOOD ST.,4065,9,no,07-08-2013,40.74587094,-74.22767173
22, NORWOOD ST.,4065,14,no,07-08-2013,40.74552724,-74.22781609
75, BROOKDALE AVE.,4065,57,no,07-16-2013,40.74373833,-74.22812307
39, BROOKDALE AVE.,4065,74,no,09-05-2013,40.74495617,-74.22765815
76, STUYVESANT AVE.,4066,43,no,11-15-2013,40.74382287,-74.22940757
125-127, NORWOOD ST.,4067,51,no,07-08-2013,40.74205121,-74.22968262
123-125, LINDSLEY AVE.,4067,38,no,09-04-2013,40.74101386,-74.2300084
116, STUYVESANT AVE.,4067,15,no,10-02-2013,40.74232837,-74.22995998
118-122, STUYVESANT AVE,4067,18,no,10-02-2013,40.74221281,-74.23000538
156-158, BROOKDALE AVE.,4070,9,no,04-04-2014,40.74092777,-74.22863336
158, ALEXANDER ST.,4072,10,no,09-05-2013,40.74059308,-74.22687982
69-71, VALLEY ST.,4073.01,17,no,07-10-2013,40.73873382,-74.23006753
225-227, SUNSET AVE.,4075.01,25,no,03-27-2014,40.73843635,-74.22920693
219, SUNSET AVENUE,4075.01,32,no,03-27-2014,40.73864928,-74.22912526
91, MEAD ST.,4103,23,no,07-09-2013,40.73987657,-74.23279085
630, SANDFORD AVE.,4103,2,no,03-20-2014,40.74010519,-74.23427177
22-24, SILVER ST.,4108,3,no,07-09-2013,40.74263007,-74.23123393
40-42, SILVER ST.,4109,3,no,07-09-2013,40.74299652,-74.23201503
46, SALEM ST.,4114,28,no,,40.74482688,-74.22978551
40, SALEM ST.,4114,25,no,,40.74501945,-74.22976862
20, SALEM ST.,4114,15,no,,40.74571736,-74.22966151
42-44, SALEM ST.,4114,27,no,01-15-2014,40.7449243,-74.22977713
48-50, SALEM ST.,4114,30,no,01-15-2014,40.74471266,-74.22980396
198-200, SMITH ST.,4115,21,no,07-09-2013,40.74513089,-74.23061393
202, SMITH ST.,4115,22,no,07-09-2013,40.74504391,-74.23062108
216, SMITH ST.,4115,29,no,07-09-2013,40.74453177,-74.23073518
51-53, SALEM ST.,4115,35,no,09-06-2013,40.74467456,-74.2303754
35, SALEM ST.,4115,43,no,09-06-2013,40.74518968,-74.23024572
25, SALEM ST.,4115,48,no,,40.74553881,-74.23021673
25, SALEM ST.,4115,48,no,01-15-2014,40.74553881,-74.23021673
23, SALEM ST.,4115,49,no,01-15-2014,40.74560862,-74.23021156
10, FORTUNA ST,4120,38,no,07-09-2013,40.74417404,-74.23276076
623-625, SANDFORD AVE.,4124,7,no,09-06-2013,40.74063158,-74.23461829
122, OAKLAND TERR.,4125,14,no,09-06-2013,40.74136039,-74.23692742
124-126, OAKLAND TERR.,4125,16,no,09-06-2013,40.74126978,-74.23700926
96-98, OAKLAND TERR.,4125,1,no,07-10-2013,40.74209757,-74.23624694
345-347, ELLERY AVE.,4128,70,no,07-09-2013,40.73930641,-74.23811965
321, ELLERY AVE.,4128,58,no,07-09-2013,40.73849058,-74.23846253
318, NEW ST.,415,21.02,yes,10-25-2013,40.7444325,-74.18453178
82, POE AVE.,4180,34,no,06-27-2013,40.74840989,-74.23349659
1141-1143, SOUTH ORANGE AV,4184,1,no,01-06-2014,40.74585848,-74.23628159
60, LANARK AVE.,4190,5,no,04-21-2014,40.75048999,-74.23384077
27-29, LANARK AVE.,4192,18,no,09-04-2013,40.7506626,-74.23214823
71-73, SMITH ST.,4199,29,no,,40.74946993,-74.22960759
104, PALM ST.,4199,128,no,09-06-2013,40.74982873,-74.22980205
94, SMITH ST.,4200,11,no,06-27-2013,40.74866873,-74.22947884
92, SMITH ST.,4200,10,no,06-28-2013,40.74874096,-74.2294399
52, SMITH ST.,4201,42,no,09-06-2013,40.74995513,-74.22875262
44-46, TELFORD ST.,4202,58,no,06-27-2013,40.74781534,-74.229363
78-80, TELFORD ST.,4202,75,no,06-27-2013,40.74892529,-74.2287742
55, HALSTED ST.,4202,12,no,09-04-2013,40.74841366,-74.22865775
46-48, HALSTED ST.,4204,16,no,06-27-2013,40.74798044,-74.22830624
36-38, HALSTED ST.,4204,21,no,06-27-2013,40.74769073,-74.2284593
51, MOUNTAIN VIEW AVE.,4205,12,no,09-05-2013,40.74694981,-74.22018268
26-28, GRAND AVE.,4206,29,no,06-28-2013,40.74588124,-74.22030924
38, GRAND AVE.,4206,35,no,06-28-2013,40.74623019,-74.22010158
38, CEDAR AVE.,4207,31,no,07-16-2013,40.74621736,-74.21899638
51-53, CEDAR AVE.,4209,10,no,07-16-2013,40.74683834,-74.21928715
45-47, CEDAR AVE.,4209,6,no,07-16-2013,40.74659884,-74.21943152
66-68, CEDAR AVE.,4214,25,no,07-16-2013,40.74708871,-74.21848288
52, CEDAR AVE.,4214,33,no,07-16-2013,40.74659197,-74.21877853
88, TREMONT AVE.,4214,4,no,10-03-2013,40.74822922,-74.21757734
97-99, GRAND AVE.,4216,42,no,06-28-2013,40.74823597,-74.21945897
83, TREMONT AVE.,4219,7,no,10-03-2013,40.74857072,-74.21716858
99-101, NORTH MUNN AVE.,4220,28,no,09-05-2013,40.74834526,-74.21634534
95, NORTH MUNN AVE.,4220,14,no,09-05-2013,40.74820122,-74.21641922
96-98, NORTH MUNN AVE.,4223,22,no,09-05-2013,40.74805524,-74.21591262
15, MIDLAND PL.,4262,5,yes,09-05-2013,40.74004948,-74.24191263
21, MIDLAND PL.,4262,7,yes,09-05-2013,40.73984356,-74.24201982
52, BURNET ST.,44,64,no,04-15-2014,40.74513808,-74.17386163
252, MT PLEASANT AVE.,444,51,no,08-27-2013,40.75313298,-74.16817429
250, MT PLEASANT AVE.,444,52,no,08-27-2013,40.75318287,-74.16816687
284, BROAD ST.,448,85,yes,10-17-2013,40.75212018,-74.1692431
294, BROAD ST.,448,75,no,10-17-2013,40.75178076,-74.16927511
281, BROAD ST.,449,6,no,10-17-2013,,
71, BROADWAY,449,64,no,10-30-2013,40.75257329,-74.17038104
18, MT. PROSPECT AVE.,472,26.04,no,08-23-2013,40.75199709,-74.17866783
16, M.L. KING BLVD.,483,84,yes,12-11-2013,40.75454639,-74.1722379
75, SUMMER AVE.,484,55,no,08-29-2013,40.75304619,-74.17323282
67, SUMMER AVE.,484,63,no,08-29-2013,40.75271452,-74.17325571
83, SUMMER AVE.,484,49,no,10-31-2013,40.7533713,-74.17320988
65, STONE ST.,485,6,no,10-17-2013,40.75365469,-74.17412585
88, SUMMER AVE.,485,57,no,10-31-2013,40.75363229,-74.17376257
119, SUMMER AVE.,486,20,yes,10-31-2013,40.754879,-74.17307424
99, SUMMER AVE.,486,37,no,10-31-2013,40.7540968,-74.17314879
91, STONE ST.,487,21,yes,08-06-2013,40.75468009,-74.17401545
87, STONE ST.,487,23,yes,10-17-2013,40.75451581,-74.17403341
87-, STONE ST.,487,29,no,10-17-2013,40.75455026,-74.17403043
91, CUTLER ST.,488,69,yes,12-11-2013,40.754409,-74.17482271
76, STONE ST.,488,21,no,10-17-2013,40.75412429,-74.17464254
89, CUTLER ST.,488,67,no,12-30-2013,40.75433854,-74.17486376
97, GARSIDE ST.,489,59,no,11-13-2013,40.75456623,-74.1756855
66, CUTLER ST.,489,32,no,08-28-2013,40.75364653,-74.17577622
86, CUTLER ST.,489,22.01,no,02-21-2014,40.75427139,-74.17545059
94, CUTLER ST.,489,18,no,12-30-2013,40.75453945,-74.17531047
77, MT. PROSPECT AVE.,490,42,yes,10-30-2013,40.75400889,-74.17698445
93-, MT. PROSPECT AVE.,490,74,yes,,40.75455341,-74.17670123
78, GARSIDE ST.,490,30,no,,40.75399329,-74.17660409
94, GARSIDE ST.,490,21,no,11-12-2013,40.75455824,-74.17630989
90-, GARSIDE ST.,490,67,no,,40.75443032,-74.17637684
49-, VICTORIA AVE.,490,38,no,,40.75376542,-74.17702895
138, PARKER ST.,507,25,yes,,40.75769068,-74.17876849
150, PARKER ST.,507,19,yes,08-06-2013,40.75809188,-74.17861427
164, PARKER ST.,507,12,yes,,40.75852197,-74.17833775
176-B, PARKER ST,507,68,yes,,40.75905588,-74.17806154
124, PARKER ST.,507,32,no,11-06-2013,40.75724826,-74.17903804
45, HIGHLAND AVE.,507,59,no,,40.7584634,-74.17875602
35-37, HIGHLAND AVE.,507,54,no,,40.75820001,-74.17892805
150, PARKER ST.,507,19,no,,40.75809188,-74.17861427
142, PARKER ST.,507,23,no,,40.75781808,-74.17870223
138, PARKER ST.,507,25,no,,40.75769068,-74.17876849
164, PARKER ST.,507,12,no,,40.75852197,-74.17833775
45, HIGHLAND AVE.,507,59,no,04-09-2014,40.7584634,-74.17875602
141, PARKER ST.,508,45,yes,08-28-2013,40.75763915,-74.17817787
169, PARKER ST.,508,63,no,08-28-2013,40.75877677,-74.17762269
152-154, RIDGE ST.,508,10,no,,40.75802,-74.17759078
171, PARKER ST.,508,64,no,,40.75883945,-74.17758514
151-153, PARKER ST.,508,52,no,,40.75807719,-74.17794933
141, PARKER ST.,508,45,no,,40.75763915,-74.17817787
137-139, PARKER ST.,508,44,no,,40.75755426,-74.17822221
146, MT. PROSPECT AVE.,510,26,no,04-07-2014,40.75657479,-74.17626877
144, MT. PROSPECT AVE.,510,27,no,04-07-2014,40.7564895,-74.17631287
144-, MT PROSPECT AVE.,510,68,no,04-07-2014,40.75653286,-74.17629044
153, MT. PROSPECT AVE.,511,38,yes,10-30-2013,40.75660122,-74.17563353
153-, MT. PROSPECT AVE.,511,39,no,10-30-2013,40.75664894,-74.17560853
155, MT. PROSPECT AVE.,511,40,no,10-30-2013,40.75669664,-74.17558354
157, MT. PROSPECT AVE.,511,41,no,10-30-2013,40.75675228,-74.1755544
135-137, MT. PROSPECT AVE.,511,29,no,08-23-2013,40.75609401,-74.17590441
144, GARSIDE ST.,511,19,no,11-12-2013,40.75639345,-74.17535383
139-139-, GARSIDE ST,512,36,yes,,40.75602178,-74.17490278
169, GARSIDE ST.,512,51,no,08-20-2013,40.75695425,-74.17450425
133-135, GARSIDE ST.,512,33,no,08-27-2013,40.75590481,-74.17497956
113-, BLOOMFIELD AVE.,518,58,no,08-28-2013,40.75724818,-74.17384349
115, BLOOMFIELD AVE.,518,49,no,08-28-2013,40.75728201,-74.17389045
187-, SUMMER AVE.,524,58,no,08-12-2013,40.75777423,-74.17201501
242-244, BROADWAY,526,26,no,08-27-2013,40.75895636,-74.16978327
233, GARSIDE ST.,527,5,yes,08-20-2013,40.75939031,-74.17279945
233-, GARSIDE ST.,527,42,yes,08-20-2013,40.75942021,-74.17277741
227, GARSIDE ST.,527,2,no,08-20-2013,40.75924844,-74.17291327
63, TAYLOR ST.,527,35,no,08-27-2013,40.75919585,-74.17258137
219, GARSIDE ST.,528,8,yes,02-26-2014,40.75893715,-74.17313449
204, SUMMER AVE.,528,19,no,08-29-2013,40.75859214,-74.17226653
215-, GARSIDE ST.,528,7,no,08-27-2013,40.75886145,-74.17319089
217, GARSIDE ST.,528,37,no,12-30-2013,40.75889705,-74.17316437
242, GARSIDE ST.,531,3,no,08-20-2013,40.75987979,-74.17309973
217, MT. PROSPECT AVE.,531,78,no,08-29-2013,40.75887491,-74.17433772
220, GARSIDE ST.,531,14,no,12-30-2013,40.7592233,-74.17358527
151-157, BLOOMFIELD AVE,532,23,no,08-27-2013,40.75888284,-74.17511683
195-205, BLOOMFIELD AVE,536,1,yes,,40.76067539,-74.17625908
177, PARKER ST.,537,28,no,08-29-2013,40.75902791,-74.17747178
131-133, HIGHLAND AVE..,538,62,yes,12-31-2013,40.76090577,-74.17750053
226, PARKER ST.,538,12,yes,08-28-2013,40.7607348,-74.17720044
194, PARKER ST.,538,28,no,08-28-2013,40.75969653,-74.17772776
95, HIGHLAND AVE.,538,47,no,,40.75992625,-74.17799575
127, HIGHLAND AVE.,538,71,no,04-09-2014,40.76076681,-74.17755722
222, PARKER ST.,538,14,no,08-28-2013,40.76058919,-74.1772606
103, HIGHLAND AVE.,538,51,no,04-09-2014,40.76019016,-74.17785767
138, HIGHLAND AVE.,540,69,yes,08-28-2013,40.7610402,-74.17803661
140, HIGHLAND AVE.,540,68,yes,08-28-2013,40.76108239,-74.1780139
104, HIGHLAND AVE.,540,86,no,04-09-2014,40.76035868,-74.17839197
122, HIGHLAND AVE.,540,77,no,04-09-2014,40.76071755,-74.17820485
120, HIGHLAND AVE.,540,78,no,08-28-2013,40.76067777,-74.17822558
146-148, SECOND AVE.,555,2,no,08-27-2013,40.76335414,-74.17572158
269-271, PARKER ST,556,49,no,01-06-2014,40.76237023,-74.17571175
312-314, MT. PROSPECT AVE.,558,6,no,08-29-2013,40.76221951,-74.17291637
259, GARSIDE ST.,560,75,yes,08-27-2013,40.76042561,-74.17203352
256, SUMMER AVE.,560,21,yes,08-29-2013,40.76063017,-74.17129536
288-, SUMER AVE.,560,71,yes,,40.76166231,-74.17067471
246, SUMMER AVE.,560,26,no,08-29-2013,40.7603066,-74.17145307
257-, GARSIDE ST.,560,74,no,08-20-2013,40.760386,-74.1720565
91-93, THIRD AVE. EAST,561,40,no,08-27-2013,40.75968349,-74.17033672
243, SUMMER AVE.,561,6,no,08-14-2013,40.76001433,-74.17084451
79, BROAD ST.,564,11,yes,10-17-2013,40.75979716,-74.16807999
79-, BROAD ST.,564,12,no,10-18-2012,40.75974871,-74.16810437
52, ORIENTAL ST.,565,47,no,08-27-2013,40.76010245,-74.1671888
46, ORIENTAL ST.,565,1,no,08-27-2013,40.76004015,-74.16701655
48, ORIENTAL ST.,565,49,no,08-27-2013,40.76005565,-74.16707654
12, ORIENTAL ST.,567,61,no,08-27-2013,40.75958608,-74.16518227
23, WAKEMAN AVE.,575,48,no,05-06-2014,40.76244706,-74.16837696
51, WAKEMAN AVE.,575,62,no,05-06-2014,40.76334049,-74.16793174
5, WAKEMAN AVE.,575,95,no,05-06-2014,40.76197941,-74.16865119
351, SUMMER AVE.,576,62,yes,08-29-2013,40.7636434,-74.16893052
309, SUMMER AVE.,576,41,no,08-29-2013,40.76232741,-74.16960422
311, SUMMER AVE.,576,42,no,08-29-2013,40.76239351,-74.16958068
333, SUMMER AVE.,576,53,no,08-29-2013,40.76309008,-74.16921023
325, SUMMER AVE.,576,49,no,08-29-2013,40.76283403,-74.1693332
310, SUMMER AVE.,577,12,yes,,40.76258661,-74.17027822
389-391, PARKER ST.,607,51,yes,08-29-2013,40.76653329,-74.17354188
394-396, SUMMER AVE.,611,6,no,08-29-2013,40.76528641,-74.
